Indicator,Type
ruffin1980.com,domain
https://techfin11.live/,URL
techfin11.live,domain
http://acesseguros.co/GtJOpyuPqMKUtG6jXSQmfNS7l8uSVs0QxsXSDomvojL7JD85IZOXsAfcKZU2IkOoZzrb4Lwn2YNCDeW82B6VRw61PTFpnYXvIAhGcNPeEtznLao19RfbjKTjSFin1waVAJ104CVJ2tsJ6u6PIz0Mpm9H4c3ufEGi6lIODnj4nkoCrVriUTjTTdv701Od7sJGuM8gMxM3/,URL
http://acesseguros.co/GtJOpyuPqMKUtG6jXSQmfNS7l8uSVs0QxsXSDomvojL7JD85IZOXsAfcKZU2IkOoZzrb4Lwn2YNCDeW82B6VRw61PTFpnYXvIAhGcNPeEtznLao19RfbjKTjSFin1waVAJ104CVJ2tsJ6u6PIz0Mpm9H4c3ufEGi6lIODnj4nkoCrVriUTjTTdv701Od7sJGuM8gMxM3/logon.jsp,URL
http://acesseguros.co/GtJOpyuPqMKUtG6jXSQmfNS7l8uSVs0QxsXSDomvojL7JD85IZOXsAfcKZU2IkOoZzrb4Lwn2YNCDeW82B6VRw61PTFpnYXvIAhGcNPeEtznLao19RfbjKTjSFin1waVAJ104CVJ2tsJ6u6PIz0Mpm9H4c3ufEGi6lIODnj4nkoCrVriUTjTTdv701Od7sJGuM8gMxM3/logon.jsp?acpf.IDH=sim&amp;amp;perfil=1,URL
http://sissunchi.xoom.it/finestre/fin1.htm,URI
r1csc2143si531qsvfin1hyjpk3.biz,domain
p79fin1aabp6s1h6zdh81hayqsj.biz,domain
1py1byqikpfin110fmij17jpcll.net,domain
lj9o5a1oqxpxm2hufin1092bsx.com,domain
https://info.etraveli.com/pub/cc?_ri_=X0Gzc2X%3DYQpglLjHJlYQGilXmAINzg9sOtA9t6pzfFzgfHXqn3H6M9RN4ckw6cfPduKMSzdOlI3VXtpKX%3DADWSAY&amp;amp;amp;_ei_=EsAmyDbhkmKyFp58MONPaM-ncFJ6MvdlTn4TgFnQUjjxg8RVhGs53AC1hIkLZu8Daq0oUx7yWBGbXZ4bJZ0IxOChruDjICQkY76TjRinGvwIz1aEnqlw2NOtr8W-hFPRhCcVxdTEGHljjTvGLCagVzgkR1p-DGW5zVPTeZEDg3MebRMhgVlEmFEZD5t-MzPPP-F12QKcD0w1ArdSapRubezzVrHxXWndfeEIsgVqXxD0TqHdQKBirtDfG_gV-5s9M5YUiBXQiU28zeQY8UqgUHRUsNTyQTviRTfKJUfIn1xi6uTFVwZ6WFZMV7DlH2F9QkkhrxitTUD9sbps0DpwNaR-eHqe9zD_,URL
